"","trial","choicesA","choicesB","winA","winB","rateA","learningRate","noise","initRateA","cumulativeRateA","cumulativeRateB","cumulativeWinA","cumulativeWinB","agent_id"
"116",116,1,1,1,0,0.877972299643972,0.206159383291379,0,0.5,0.732758620689655,0.775862068965517,0.663793103448276,0.336206896551724,1
"117",117,1,1,1,0,0.903129455093836,0.206159383291379,0,0.5,0.735042735042735,0.777777777777778,0.666666666666667,0.333333333333333,1
"118",118,1,1,1,0,0.92310022689079,0.206159383291379,0,0.5,0.73728813559322,0.779661016949153,0.669491525423729,0.330508474576271,1
"119",119,0,1,0,1,0.938953836690232,0.206159383291379,0,0.5,0.73109243697479,0.781512605042017,0.663865546218487,0.336134453781513,1
"120",120,1,0,0,1,0.951539076070478,0.206159383291379,0,0.5,0.733333333333333,0.775,0.658333333333333,0.341666666666667,1
"121",1,1,1,1,0,0.5,0.917610087664798,0,0.5,1,1,1,0,2
"122",2,1,1,1,0,0.958805043832399,0.917610087664798,0,0.5,1,1,1,0,2
"123",3,1,1,1,0,0.996605951172699,0.917610087664798,0,0.5,1,1,1,0,2
"124",4,1,0,0,1,0.999720364614657,0.917610087664798,0,0.5,1,0.75,0.75,0.25,2
"125",5,0,1,0,1,0.0823668732003179,0.917610087664798,0,0.5,0.8,0.8,0.6,0.4,2
"126",6,1,1,1,0,0.924396287127097,0.917610087664798,0,0.5,0.833333333333333,0.833333333333333,0.666666666666667,0.333333333333333,2
"127",7,1,1,1,0,0.993771016724186,0.917610087664798,0,0.5,0.857142857142857,0.857142857142857,0.714285714285714,0.285714285714286,2
"128",8,1,1,1,0,0.999486794613968,0.917610087664798,0,0.5,0.875,0.875,0.75,0.25,2
"129",9,1,1,1,0,0.999957717053235,0.917610087664798,0,0.5,0.888888888888889,0.888888888888889,0.777777777777778,0.222222222222222,2
"130",10,1,1,1,0,0.999996516311723,0.917610087664798,0,0.5,0.9,0.9,0.8,0.2,2
"131",11,1,1,1,0,0.999999712979228,0.917610087664798,0,0.5,0.909090909090909,0.909090909090909,0.818181818181818,0.181818181818182,2
"132",12,1,1,1,0,0.999999976352384,0.917610087664798,0,0.5,0.916666666666667,0.916666666666667,0.833333333333333,0.166666666666667,2
"133",13,1,1,1,0,0.999999998051675,0.917610087664798,0,0.5,0.923076923076923,0.923076923076923,0.846153846153846,0.153846153846154,2
"134",14,1,1,1,0,0.999999999839478,0.917610087664798,0,0.5,0.928571428571429,0.928571428571429,0.857142857142857,0.142857142857143,2
"135",15,1,1,1,0,0.999999999986775,0.917610087664798,0,0.5,0.933333333333333,0.933333333333333,0.866666666666667,0.133333333333333,2
"136",16,1,1,1,0,0.99999999999891,0.917610087664798,0,0.5,0.9375,0.9375,0.875,0.125,2
"137",17,1,1,1,0,0.99999999999991,0.917610087664798,0,0.5,0.941176470588235,0.941176470588235,0.882352941176471,0.117647058823529,2
"138",18,1,1,1,0,0.999999999999993,0.917610087664798,0,0.5,0.944444444444444,0.944444444444444,0.888888888888889,0.111111111111111,2
"139",19,1,1,1,0,0.999999999999999,0.917610087664798,0,0.5,0.947368421052632,0.947368421052632,0.894736842105263,0.105263157894737,2
"140",20,1,1,1,0,1,0.917610087664798,0,0.5,0.95,0.95,0.9,0.1,2
"141",21,1,1,1,0,1,0.917610087664798,0,0.5,0.952380952380952,0.952380952380952,0.904761904761905,0.0952380952380952,2
"142",22,1,1,1,0,1,0.917610087664798,0,0.5,0.954545454545455,0.954545454545455,0.909090909090909,0.0909090909090909,2
"143",23,1,1,1,0,1,0.917610087664798,0,0.5,0.956521739130435,0.956521739130435,0.91304347826087,0.0869565217391304,2
"144",24,1,1,1,0,1,0.917610087664798,0,0.5,0.958333333333333,0.958333333333333,0.916666666666667,0.0833333333333333,2
"145",25,1,1,1,0,1,0.917610087664798,0,0.5,0.96,0.96,0.92,0.08,2
"146",26,1,1,1,0,1,0.917610087664798,0,0.5,0.961538461538462,0.961538461538462,0.923076923076923,0.0769230769230769,2
"147",27,1,1,1,0,1,0.917610087664798,0,0.5,0.962962962962963,0.962962962962963,0.925925925925926,0.0740740740740741,2
"148",28,1,0,0,1,1,0.917610087664798,0,0.5,0.964285714285714,0.928571428571429,0.892857142857143,0.107142857142857,2
"149",29,0,1,0,1,0.0823899123352021,0.917610087664798,0,0.5,0.931034482758621,0.931034482758621,0.862068965517241,0.137931034482759,2
"150",30,1,1,1,0,0.9243981853194,0.917610087664798,0,0.5,0.933333333333333,0.933333333333333,0.866666666666667,0.133333333333333,2
"151",31,1,1,1,0,0.993771173116083,0.917610087664798,0,0.5,0.935483870967742,0.935483870967742,0.870967741935484,0.129032258064516,2
"152",32,1,1,1,0,0.999486807499083,0.917610087664798,0,0.5,0.9375,0.9375,0.875,0.125,2
