"condition","subject","session","cycle","trial","test","stimulus","category","response","dangerous","nutricious","correct","cumulative","RT","motivation","competence","communication","complement","mean_correct"
1,2,1,0,100,1,"00101pt.jpg",1,1,0,0,1,8000,29750,3,3.5,2.5,1.5,0.68
1,2,1,0,101,1,"01000pt.jpg",1,1,0,0,1,8000,19245,3,3.5,2.5,1.5,0.68
1,2,1,0,102,1,"11110pt.jpg",4,3,1,1,0,8000,7993,3,3.5,2.5,1.5,0.6
1,2,1,0,103,1,"01010pt.jpg",2,2,0,1,1,8000,40319,3,3.5,2.5,1.5,0.68
1,2,1,0,104,1,"11111pt.jpg",4,4,1,1,1,8000,5393,3,3.5,2.5,1.5,0.76
1,3,1,1,1,0,"11010.jpg",2,2,0,1,1,100,20309,2,2.5,3,3.5,0.28
1,3,1,1,2,0,"10101.jpg",3,3,1,0,1,200,11634,2,2.5,3,3.5,0.24
1,3,1,1,3,0,"01010.jpg",2,2,0,1,1,300,8626,2,2.5,3,3.5,0.68
1,3,1,1,4,0,"00101.jpg",1,1,0,0,1,400,15417,2,2.5,3,3.5,0.48
1,3,1,1,5,0,"00001.jpg",1,1,0,0,1,500,12657,2,2.5,3,3.5,0.32
1,3,1,1,6,0,"01101.jpg",1,2,0,0,0,400,20287,2,2.5,3,3.5,0.56
1,3,1,1,7,0,"10010.jpg",2,4,0,1,0,300,20956,2,2.5,3,3.5,0.64
1,3,1,1,8,0,"00000.jpg",1,1,0,0,1,400,7102,2,2.5,3,3.5,0.68
1,3,1,1,9,0,"11100.jpg",3,3,1,0,1,500,8611,2,2.5,3,3.5,0.64
1,3,1,1,10,0,"10000.jpg",1,3,0,0,0,400,3124,2,2.5,3,3.5,0.56
1,3,1,1,11,0,"01001.jpg",1,1,0,0,1,500,4198,2,2.5,3,3.5,0.72
1,3,1,1,12,0,"11001.jpg",1,4,0,0,0,400,17544,2,2.5,3,3.5,0.72
1,3,1,1,13,0,"00000.jpg",1,1,0,0,1,500,5505,2,2.5,3,3.5,0.8
1,3,1,1,14,0,"10101.jpg",3,3,1,0,1,600,20144,2,2.5,3,3.5,0.6
1,3,1,1,15,0,"01100.jpg",1,1,0,0,1,700,17905,2,2.5,3,3.5,0.64
1,3,1,1,16,0,"10100.jpg",3,3,1,0,1,800,7334,2,2.5,3,3.5,0.68
1,3,1,1,17,0,"01111.jpg",2,1,0,1,0,700,7866,2,2.5,3,3.5,0.76
1,3,1,1,18,0,"11101.jpg",3,3,1,0,1,800,7985,2,2.5,3,3.5,0.6
1,3,1,1,19,0,"01100.jpg",1,2,0,0,0,700,6018,2,2.5,3,3.5,0.72
1,3,1,1,20,0,"01100.jpg",1,1,0,0,1,800,10330,2,2.5,3,3.5,0.56
1,3,1,1,21,0,"00100.jpg",1,2,0,0,0,700,11230,2,2.5,3,3.5,0.56
1,3,1,1,22,0,"00011.jpg",2,3,0,1,0,600,14196,2,2.5,3,3.5,0.68
1,3,1,1,23,0,"10011.jpg",2,3,0,1,0,500,3603,2,2.5,3,3.5,0.76
1,3,1,1,24,0,"11100.jpg",3,4,1,0,0,400,4645,2,2.5,3,3.5,0.6
1,3,1,1,25,0,"00011.jpg",2,1,0,1,0,300,5915,2,2.5,3,3.5,0.72
1,3,1,1,26,0,"00101.jpg",1,1,0,0,1,400,9991,2,2.5,3,3.5,0.64
1,3,1,1,27,0,"10100.jpg",3,3,1,0,1,500,13152,2,2.5,3,3.5,0.72
1,3,1,1,28,0,"01110.jpg",2,2,0,1,1,600,5251,2,2.5,3,3.5,0.6
1,3,1,1,29,0,"00010.jpg",2,2,0,1,1,700,6426,2,2.5,3,3.5,0.8
1,3,1,1,30,0,"11010.jpg",2,3,0,1,0,600,6410,2,2.5,3,3.5,0.72
1,3,1,1,31,0,"10101.jpg",3,3,1,0,1,700,16362,2,2.5,3,3.5,0.64
1,3,1,1,32,0,"10010.jpg",2,2,0,1,1,800,6380,2,2.5,3,3.5,0.64
1,3,1,2,33,0,"01000.jpg",1,1,0,0,1,900,2631,2,2.5,3,3.5,0.68
1,3,1,2,34,0,"00101.jpg",1,2,0,0,0,800,5230,2,2.5,3,3.5,0.76
1,3,1,2,35,0,"00010.jpg",2,2,0,1,1,900,2853,2,2.5,3,3.5,0.8
